,cell_line,assay,file_format,output_type,assembly,file_status,target,biosample_treatment,lab,replicate,file_name,file_location
15,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K27ac,None,"Bradley Bernstein, Broad",rep2,ENCFF444FWS.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K27ac/None/Bradley Bernstein, Broad/rep2/ENCFF444FWS.bed.gz"
16,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K27ac,None,"Bradley Bernstein, Broad",rep1,ENCFF288PRZ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K27ac/None/Bradley Bernstein, Broad/rep1/ENCFF288PRZ.bed.gz"
17,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K36me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF841VMK.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K36me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF841VMK.bed.gz"
18,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K36me3,None,"John Stamatoyannopoulos, UW",rep2,ENCFF732PNH.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K36me3/None/John Stamatoyannopoulos, UW/rep2/ENCFF732PNH.bed.gz"
19,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K36me3,None,"John Stamatoyannopoulos, UW",rep1,ENCFF780YNT.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K36me3/None/John Stamatoyannopoulos, UW/rep1/ENCFF780YNT.bed.gz"
20,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K27me3,None,"John Stamatoyannopoulos, UW",rep1,ENCFF554FEY.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep1/ENCFF554FEY.bed.gz"
21,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K27me3,None,"John Stamatoyannopoulos, UW",rep2,ENCFF021DDT.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep2/ENCFF021DDT.bed.gz"
22,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K27me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF516QGL.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF516QGL.bed.gz"
23,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K9me3,None,"Bradley Bernstein, Broad",rep2,ENCFF478JWV.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K9me3/None/Bradley Bernstein, Broad/rep2/ENCFF478JWV.bed.gz"
24,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K9me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF624PGM.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K9me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF624PGM.bed.gz"
25,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H3K9me3,None,"Bradley Bernstein, Broad",rep1,ENCFF208FGD.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H3K9me3/None/Bradley Bernstein, Broad/rep1/ENCFF208FGD.bed.gz"
26,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H2AFZ,None,"Bradley Bernstein, Broad","rep1,2",ENCFF987RPI.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H2AFZ/None/Bradley Bernstein, Broad/rep1,2/ENCFF987RPI.bed.gz"
27,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H2AFZ,None,"Bradley Bernstein, Broad",rep2,ENCFF768JAF.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H2AFZ/None/Bradley Bernstein, Broad/rep2/ENCFF768JAF.bed.gz"
28,keratinocyte,ChIP-seq,bed narrowPeak,peaks,GRCh38,released,H2AFZ,None,"Bradley Bernstein, Broad",rep1,ENCFF142CUC.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/GRCh38/released/H2AFZ/None/Bradley Bernstein, Broad/rep1/ENCFF142CUC.bed.gz"
29,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K79me2,None,"Bradley Bernstein, Broad",rep2,ENCFF445PUZ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K79me2/None/Bradley Bernstein, Broad/rep2/ENCFF445PUZ.bed.gz"
30,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K79me2,None,"Bradley Bernstein, Broad",rep1,ENCFF814DEC.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K79me2/None/Bradley Bernstein, Broad/rep1/ENCFF814DEC.bed.gz"
31,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K79me2,None,"Bradley Bernstein, Broad","rep1,2",ENCFF289QBG.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K79me2/None/Bradley Bernstein, Broad/rep1,2/ENCFF289QBG.bed.gz"
32,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K9me3,None,"Bradley Bernstein, Broad",rep2,ENCFF414MYV.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K9me3/None/Bradley Bernstein, Broad/rep2/ENCFF414MYV.bed.gz"
33,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K9me3,None,"Bradley Bernstein, Broad",rep1,ENCFF933BIJ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K9me3/None/Bradley Bernstein, Broad/rep1/ENCFF933BIJ.bed.gz"
34,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K9me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF480EID.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K9me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF480EID.bed.gz"
35,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,CTCF,None,"Vishwanath Iyer, UTA","rep1,2",ENCFF974JVU.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/CTCF/None/Vishwanath Iyer, UTA/rep1,2/ENCFF974JVU.bed.gz"
36,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,CTCF,None,"Vishwanath Iyer, UTA",rep1,ENCFF680MAX.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/CTCF/None/Vishwanath Iyer, UTA/rep1/ENCFF680MAX.bed.gz"
37,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,CTCF,None,"Vishwanath Iyer, UTA",rep2,ENCFF705JDO.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/CTCF/None/Vishwanath Iyer, UTA/rep2/ENCFF705JDO.bed.gz"
38,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K27ac,None,"Bradley Bernstein, Broad","rep1,2",ENCFF391MEA.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K27ac/None/Bradley Bernstein, Broad/rep1,2/ENCFF391MEA.bed.gz"
39,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K27ac,None,"Bradley Bernstein, Broad",rep2,ENCFF661NMR.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K27ac/None/Bradley Bernstein, Broad/rep2/ENCFF661NMR.bed.gz"
40,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K27ac,None,"Bradley Bernstein, Broad",rep1,ENCFF868YSL.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K27ac/None/Bradley Bernstein, Broad/rep1/ENCFF868YSL.bed.gz"
41,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad",rep2,ENCFF797ZMR.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep2/ENCFF797ZMR.bed.gz"
42,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad",rep2,ENCFF280QNB.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep2/ENCFF280QNB.bed.gz"
43,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad",rep1,ENCFF832HHG.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep1/ENCFF832HHG.bed.gz"
44,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad",rep1,ENCFF733GLZ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep1/ENCFF733GLZ.bed.gz"
45,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF522DMU.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF522DMU.bed.gz"
46,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF535ANL.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF535ANL.bed.gz"
47,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"John Stamatoyannopoulos, UW",rep2,ENCFF634RUG.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep2/ENCFF634RUG.bed.gz"
48,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"John Stamatoyannopoulos, UW",rep1,ENCFF748NGW.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep1/ENCFF748NGW.bed.gz"
49,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K4me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF405TVA.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF405TVA.bed.gz"
50,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K27me3,None,"John Stamatoyannopoulos, UW",rep2,ENCFF200GTS.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep2/ENCFF200GTS.bed.gz"
51,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K27me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF268KBT.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF268KBT.bed.gz"
52,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K27me3,None,"John Stamatoyannopoulos, UW",rep1,ENCFF412UTE.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep1/ENCFF412UTE.bed.gz"
53,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H2AFZ,None,"Bradley Bernstein, Broad","rep1,2",ENCFF771AFC.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H2AFZ/None/Bradley Bernstein, Broad/rep1,2/ENCFF771AFC.bed.gz"
54,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H2AFZ,None,"Bradley Bernstein, Broad",rep2,ENCFF063JGI.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H2AFZ/None/Bradley Bernstein, Broad/rep2/ENCFF063JGI.bed.gz"
55,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H2AFZ,None,"Bradley Bernstein, Broad",rep1,ENCFF196MAW.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H2AFZ/None/Bradley Bernstein, Broad/rep1/ENCFF196MAW.bed.gz"
56,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K36me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF770BNH.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K36me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF770BNH.bed.gz"
57,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K36me3,None,"John Stamatoyannopoulos, UW",rep2,ENCFF848KJJ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K36me3/None/John Stamatoyannopoulos, UW/rep2/ENCFF848KJJ.bed.gz"
58,keratinocyte,ChIP-seq,bed narrowPeak,peaks,hg19,released,H3K36me3,None,"John Stamatoyannopoulos, UW",rep1,ENCFF080SBQ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/peaks/hg19/released/H3K36me3/None/John Stamatoyannopoulos, UW/rep1/ENCFF080SBQ.bed.gz"
59,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H3K27me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF197KIU.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF197KIU.bed.gz"
60,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H2AFZ,None,"Bradley Bernstein, Broad","rep1,2",ENCFF198OJQ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H2AFZ/None/Bradley Bernstein, Broad/rep1,2/ENCFF198OJQ.bed.gz"
61,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H3K36me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF270RNZ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H3K36me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF270RNZ.bed.gz"
62,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H3K9me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF737VLP.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H3K9me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF737VLP.bed.gz"
63,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H3K79me2,None,"Bradley Bernstein, Broad","rep1,2",ENCFF527TBJ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H3K79me2/None/Bradley Bernstein, Broad/rep1,2/ENCFF527TBJ.bed.gz"
64,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H3K27ac,None,"Bradley Bernstein, Broad","rep1,2",ENCFF397SDI.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H3K27ac/None/Bradley Bernstein, Broad/rep1,2/ENCFF397SDI.bed.gz"
65,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H3K4me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF040OYX.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H3K4me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF040OYX.bed.gz"
66,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,GRCh38,released,H3K4me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF025CSY.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/GRCh38/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF025CSY.bed.gz"
67,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H3K79me2,None,"Bradley Bernstein, Broad","rep1,2",ENCFF153RQJ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H3K79me2/None/Bradley Bernstein, Broad/rep1,2/ENCFF153RQJ.bed.gz"
68,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H2AFZ,None,"Bradley Bernstein, Broad","rep1,2",ENCFF842IJE.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H2AFZ/None/Bradley Bernstein, Broad/rep1,2/ENCFF842IJE.bed.gz"
69,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H3K9me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF188QAF.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H3K9me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF188QAF.bed.gz"
70,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H3K27me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF194TUQ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H3K27me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF194TUQ.bed.gz"
71,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H3K27ac,None,"Bradley Bernstein, Broad","rep1,2",ENCFF943CBQ.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H3K27ac/None/Bradley Bernstein, Broad/rep1,2/ENCFF943CBQ.bed.gz"
72,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H3K4me3,None,"John Stamatoyannopoulos, UW","rep1,2",ENCFF582JWP.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H3K4me3/None/John Stamatoyannopoulos, UW/rep1,2/ENCFF582JWP.bed.gz"
73,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF027FJC.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF027FJC.bed.gz"
74,keratinocyte,ChIP-seq,bed narrowPeak,replicated peaks,hg19,released,H3K4me3,None,"Bradley Bernstein, Broad","rep1,2",ENCFF018IGB.bed.gz,"/pollard/data/functional_genomics/encode/keratinocyte/ChIP-seq/bed narrowPeak/replicated peaks/hg19/released/H3K4me3/None/Bradley Bernstein, Broad/rep1,2/ENCFF018IGB.bed.gz"
